,work,Year,Publication_type,Cell-classes,Cell-types,How_many_classes/types_of_neurons?,What_type_of_classification_problems?,Region,Subregion,Species,What_is_the_data_source?,What_data_representation_is_being_used?,What_features_are_extracted?,What_classification_methods_are_being_used?,Types_of_ANN,What_neuroscience_tools_and_technologies_are_being_used?,Is_the_source_code_available?,What_programming_language_are_being_used?,What_evaluation_measures_are_being_used?,Other_relevant_aspects
0,"batabyal,t.,condron,b.,&_acton,s._t._(2020)._neuropath2path:_classification_and_elastic_morphing_between_neuronal_arbors_using_path-wise_similarity._neuroinformatics,18(3),479508._https://doi.org/10.1007/s12021-019-09450-x",2020,journal,"pyramidal,ganglion,granule,motoneuron,purkinje",only_classes,5_classes,multi-class,"neocortex,hippocampus","neocortex_occipital,neocortex_prefrontal,neocortex_frontal",mouse,neuromorpho,graph-based_,morphometrics_features,"knn,svm",does_not_use_ann,"neurosol,tmd,neuropath2path",yes._github_,matlab,"accuracy,confusion_matrix","path2path_is_being_compared_against_tmd_-_proposed_by_lida_kanari._intraclass_accuracy_of_66%_and_interclass_accuracy_of_85,02%._basically,it_is_being_computing_the_distance_between_two_neurons_-_but_applying_the_many-to-one_strategy."
1,"grbatinic,i.,milosevic,n.,&_krstonosic,b._(2018)._the_neuromorphological_caudateputaminal_clustering_of_neostriate_interneurons:_kohonen_selforganizing_maps_and_supervised_artificial_neural_networks_with_multivariate_analysis._journal_of_theoretical_biology,438,96115._https://doi.org/10.1016/j.jtbi.2017.11.013",2018,journal,interneuron,caudate_(cin)_and_putaminal_neuron_type_(pin),"1_class,2_types",binary,neostriate_nuclei,neostriate_nuclei,human,own_dataset,"image-based,skeleton-based",morphometrics_features,"neural_networks,k-means,_linear_discriminant_analysis","multi_layer_perceptron,kohonen_map",not_used,no,not_described,"auc,sensitivity",nan
2,"kanari,l.,ramaswamy,s.,shi,y.,morand,s.,meystre,j.,perin,r.,abdellah,m.,wang,y.,hess,k.,&_markram,h._(2019)._objective_morphological_classification_of_neocortical_pyramidal_cells._cerebral_cortex,29(4),17191735._https://doi.org/10.1093/cercor/bhy339",2019,journal,pyramidal,not_described,"1_class,17_types",multi-class,somatosensory,cortex_somatosensory,rat,own_dataset,skeleton-based,"topological_features,morphometrics_features_",not_described,does_not_use_ann,tmd,no,not_described,"accuracy,confusion_matrix",they_do_a_reclassification._the_misclassified_cells_are_re-evaluated_and_distributed_in_new_groups_until_the_new_grouping_is_stable
3,"kirch,c.,&_gollo,l._l._(2020)._spatially_resolved_dendritic_integration:_towards_a_functional_classification_of_neurons._peerj,8,129._https://doi.org/10.7717/peerj.10250",2020,journal,"pyramidal,purkinje,ganglion,sensory,granule,interneuron",only_classes,6_classes,multi-class,"neocortex,hippocampus,cerebellum,forebarin,retina,anterior_cingulate","cortex_occipital,cortex_frontal,cortex_temporal,cortex_parietal,hippocampus,cortex_cerebellar,cerebellum,cortex_prefrontal,forebrain,anterior_cingulate,retina","mouse,human,rat,wallaby,drosophila_melanogaster,monkey",neuromorpho,point-based,topological_features,not_described,does_not_use_ann,not_used,yes._systems_neuroscience_group__erro_link,matlab,not_described,this_paper_provides_insights_into_the_role_the_dendritic_structure_plays_in_the_behavior_of_a_neuron
4,"laturnus,s.,kobak,d.,&_berens,p._(2020)._a_systematic_evaluation_of_interneuron_morphology_representations_for_cell_type_discrimination._neuroinformatics,18(4),591609._https://doi.org/10.1007/s12021-020-09461-z",2020,journal,interneuron,not_described,"1_class,11_types",multi-class,"retina,neocortex","retina,cortex",mouse,third_party,point-based,"density_maps,morphometrics_features,topological_features_","logistic_regression,knn,decision_tree",does_not_use_ann,nlmorphologyconverter,yes._github_,python,"cross-validation,accuracy,f1-score",this_work_evaluates_representations_of_morphologies
5,"lin,x.,&_zheng,j._(2018)._a_3d_neuronal_morphology_classification_approach_based_on_convolutional_neural_networks._proceedings_-_2018_11th_international_symposium_on_computational_intelligence_and_design,iscid_2018,2,244248._https://doi.org/10.1109/iscid.2018.10157",2018,conference,interneuron,"cholinergic,","1_class,4_types",multi-class,not_described,not_described,drosophila_melanogaster,neuromorpho,voxel-based,morphometrics_features,neural_networks,convolutional_neural_network,"cvapp,neuromantic",no,not_described,accuracy,nan
6,"lin,x.,&_zheng,j._(2019)._a_neuronal_morphology_classification_approach_based_on_locally_cumulative_connected_deep_neural_networks._applied_sciences_(switzerland),9(18)._https://doi.org/10.3390/app9183876",2019,journal,"interneuron,motoneuron",somatic,"2_classes,1_type_of_motoneuron",multi-class,not_described,not_described,"caenorhabditis_elegans,zebrafish",neuromorpho,point-based,morphometrics_features,"logistic_regression,naive_bayes,decision_tree,knn,svm,neural_networks","fully_connected_neural_network,locally_cumulative_connected_deep_neural_network,long_short-term_memory","l-measure,cvapp,neuromantic",no,not_described,"accuracy,confusion_matrix",nan
7,"lin,x.,zheng,j.,wang,x.,&_ma,h._(2018)._a_neuronal_morphology_classification_approach_based_on_deep_residual_neural_networks._lecture_notes_in_computer_science_(including_subseries_lecture_notes_in_artificial_intelligence_and_lecture_notes_in_bioinformatics),11304_lncs,336348._https://doi.org/10.1007/978-3-030-04212-7_29",2018,journal,"cajal-retzius,interneuron,von_economo,stellate,medium_spiny,sensory,pyramidal,granule,ganglion","aspiny,amacrine,basket,bipolar,gabaergic,glutamatergic,golgi,lugaro","9_classes,8_types",multi-class,not_described,not_described,human,neuromorpho,point-based,morphometrics_features,"neural_networks,knn,svm","deep_residual_neural_network,long_short-term_memory,multi_layer_perceptron",l-measure,no,not_described,accuracy,nan
8,"lopez-cabrera,j._d.,&_lorenzo-ginori,j._v._(2018)._feature_selection_for_the_classification_of_traced_neurons._journal_of_neuroscience_methods,303,4154._https://doi.org/10.1016/j.jneumeth.2018.04.002",2018,journal,"interneuron,pyramidal",only_classes,2_classes,binary,neocortex,neocortex,mouse,neuromorpho,graph-based_,morphometrics_features,"random_forest,svm,naive_bayes,knn,logistic_regression,decision_tree",does_not_use_ann,l-measure,no,matlab,"auc,cross-validation",nan
9,"lopez-cabrera,j._d.,hernandez-perez,l._a.,orozco-morales,r.,&_lorenzo-ginori,j._v._(2020)._new_morphological_features_based_on_the_sholl_analysis_for_automatic_classification_of_traced_neurons._journal_of_neuroscience_methods,343(june),108835._https://doi.org/10.1016/j.jneumeth.2020.108835",2020,journal,"interneuron,pyramidal",only_classes,2_classes,binary,neocortex,cortex,mouse,"neuromorpho,third_party",graph-based_,morphometrics_features,"naive_bayes,svm,knn,decision_tree,logistic_regression,random_forest,decision_stump",does_not_use_ann,"neurolucida,l-measure,neuroncalc",no_,matlab,"auc,accuracy","rf_classifier_exhibited_the_best_overall_performance._new_morphological_features_are_proposed,based_on_variants_of_the_sholl_analysis"
